Source,Target,Probability
1,16,0.051123449594296586
1,36,0.1386546904159202
1,188,0.017373610621308176
1,232,0.15545799172812036
1,382,0.14647441784599088
1,591,0.05272762912830247
1,623,0.07230043256546514
1,658,0.07988196374668659
1,696,0.05562992377624331
1,741,0.04375021467330152
1,870,0.06539031464631613
1,911,0.12123536125804858
2,63,0.2695950468984051
2,168,0.12291359779963412
2,317,0.11327816845187887
2,696,0.11910494100918734
2,762,0.13962256949175622
2,849,0.23548567634913836
3,3,0.7958420285171683
3,99,0.018907031275112174
3,107,0.004203416450515578
3,159,0.007849223772780264
3,232,0.031929347014651666
3,348,0.02843800550009897
3,536,0.016849578818876308
3,554,0.021113558736279542
3,583,0.01581428888935752
3,645,0.022855371057831374
3,931,0.01670895501932238
3,937,0.010758152137671635
3,977,0.008731042810334167
4,4,0.7870180165079728
4,31,0.006472750704921004
4,50,0.021808358142065224
4,91,0.021530089002968985
4,261,0.017042437328651534
4,310,0.00959980733637249
4,435,0.02000491711836549
4,497,0.03923126628037229
4,527,0.04801768575842718
4,724,0.01475987946634228
4,905,0.014514792353540617
6,6,0.8961130547588083
6,210,0.00646916068364361
6,456,0.014660536530630881
6,706,0.03533480101925856
6,899,0.04742244700765846
7,59,0.04557275294430127
7,128,0.0686661661977413
7,168,0.08799381807838322
7,306,0.19477006958548235
7,512,0.06393440553080412
7,551,0.05674362018484122
7,698,0.12594830730423218
7,836,0.16864652653585513
7,954,0.18772433363835908
8,38,0.338315653704612
8,188,0.04687492235364034
8,237,0.10422888051724667
8,531,0.20719060960178945
8,874,0.3033899338227115
9,9,0.8903069154491922
9,63,0.019998019798848576
9,87,0.008754798052105545
9,107,0.003250287923591093
9,226,0.009352975178095123
9,389,0.00609896770937058
9,522,0.009257227241636837
9,567,0.022813401084417748
9,634,0.01728056358285141
9,774,0.008434627916223148
9,896,0.004452216063667776
10,10,0.7736033660670699
10,42,0.006319845974753692
10,168,0.01296004815964367
10,276,0.009905532934359924
10,296,0.02008017980666518
10,310,0.007504831458653578
10,498,0.005461380803880373
10,639,0.01713876987192304
10,667,0.013369853971600813
10,708,0.012516750873436117
10,770,0.014854377651411066
10,804,0.013262632736659495
10,819,0.016246193738271603
10,874,0.025385088832002765
10,875,0.05139114711966873
11,11,0.44980161235452776
11,52,0.02797981827547427
11,108,0.006438224328572154
11,231,0.03573929654401737
11,293,0.05895811818757663
11,323,0.015904028075842316
11,424,0.011211159624722595
11,448,0.039292153639022484
11,518,0.010713919391070277
11,572,0.06957728624458664
11,596,0.051269372728692884
11,621,0.022481169556229814
11,649,0.039566651942168116
11,741,0.02558223426738368
11,843,0.026547815271210563
11,944,0.10893713956890255
12,12,0.6798392038112169
12,16,0.02836832482427735
12,27,0.03934305916510101
12,76,0.04484008496003354
12,122,0.01239341284831716
12,311,0.012233247284440892
12,325,0.032832538201965314
12,411,0.02750033957204063
12,498,0.01342418727843835
12,634,0.060377488560874264
12,696,0.03086896052903125
12,778,0.017979152964263414
13,13,0.8643757789845445
13,168,0.016663650255887962
13,193,0.027819374135984253
13,276,0.012736244061989017
13,311,0.006399112397245957
13,393,0.01421634809324141
13,497,0.03943431298888091
13,734,0.0037652634637107547
13,905,0.014589915618515293
14,14,0.6923244958980017
14,34,0.030366239343990534
14,145,0.041186239500037726
14,146,0.05083415423570493
14,270,0.02580681560553191
14,497,0.05371537836049035
14,557,0.027215604640838026
14,724,0.020209200091164746
14,820,0.03763204002943056
14,937,0.020709832294809563
15,15,0.7629069572320394
15,174,0.010818430948951852
15,376,0.05999624159304119
15,518,0.003956250697107975
15,524,0.026985190601467694
15,546,0.003029408879350232
15,583,0.016625181558999894
15,689,0.024083909712003082
15,725,0.02755070887805945
15,836,0.023757326637515383
15,904,0.033072580397757345
15,932,0.007217812863706564
16,6,0.08695354728568808
16,16,0.25963789114593655
16,126,0.18006795233433434
16,314,0.1430393542445904
16,379,0.09275774490996959
16,507,0.060186950839788894
16,591,0.057155500459804866
16,601,0.01101971133299384
16,663,0.03271389863480348
16,896,0.03038782534240242
16,977,0.04607962346968761
17,17,0.8795515699631871
17,35,0.010165914531463795
17,37,0.01903617770057417
17,76,0.008271999691377402
17,133,0.008586560514172743
17,145,0.010663355289723724
17,275,0.015062624099170469
17,296,0.009105362131366904
17,303,0.0074200150229592095
17,330,0.01213895816953534
17,443,0.005555819707773466
17,580,0.004055815134265772
17,663,0.003089371523498132
17,724,0.0052322786277443295
17,856,0.0020641778931876943
18,18,0.6157264902594501
18,163,0.03737182240176843
18,281,0.11564311916665974
18,425,0.05151048772770277
18,718,0.006747864451648295
18,770,0.03052628896802865
18,801,0.023418675410749764
18,894,0.048006087129828894
18,899,0.0710491644841633
19,6,0.05197246809362496
19,47,0.06583631176110478
19,68,0.037949982172497856
19,123,0.06451032319512064
19,174,0.03246208347400111
19,271,0.11609602785085467
19,397,0.12415673600837734
19,511,0.04377026144002393
19,527,0.10773516450239343
19,557,0.04459723446885185
19,596,0.05680748285268272
19,838,0.25410592418046674
20,20,0.8978116493680494
20,50,0.011261043424801135
20,87,0.008219681090661813
20,163,0.012011630458216214
20,596,0.013073893853793758
20,640,0.014873998967546036
20,653,0.014845326590600703
20,867,0.0019737488087549046
20,881,0.012539517388176715
20,905,0.007494911168022193
20,996,0.005894598881377152
21,21,0.5224283385453352
21,374,0.21536399359663352
21,542,0.2622076678580312
22,20,0.011147731596196123
22,22,0.10296351921700272
22,67,0.3335666246056025
22,374,0.051148422173453625
22,424,0.01576909024021445
22,474,0.06140048592442006
22,475,0.0657525881175344
22,551,0.030447937597162415
