Source,Target,Probability
1,1,0.4315442097043097
1,85,0.040362430132404314
1,336,0.061915670123841575
1,507,0.04265869394617318
1,591,0.13347718166064573
1,690,0.009954408447795538
1,867,0.11643487450485468
1,913,0.07169044685081169
1,939,0.05387514995364351
1,988,0.038086934675520066
2,99,0.03798419783863276
2,112,0.18401651404272135
2,209,0.04070184536599907
2,305,0.023700126685480386
2,334,0.0489742478549601
2,344,0.037579739025263494
2,385,0.044170097920499286
2,419,0.10150032740997243
2,502,0.03660732562196741
2,538,0.00973539708630649
2,539,0.04923364083394391
2,545,0.053781678631543865
2,604,0.0592672444399944
2,660,0.08090265201166268
2,718,0.029332461375794528
2,800,0.02852705095714871
2,801,0.09306159282631725
2,820,0.0409238600717918
3,3,0.07377733216484433
3,8,0.06457420732210722
3,155,0.08667377201371662
3,236,0.10493558675706412
3,309,0.017025427473215178
3,465,0.1690883254755576
3,513,0.08629735173543403
3,567,0.21336424494540052
3,690,0.013119545674186125
3,714,0.08104746564299474
3,945,0.02645295724827212
3,976,0.06364378354720726
4,4,0.789459974519896
4,101,0.02126985644836946
4,164,0.03510391912783953
4,169,0.024923114551266702
4,248,0.01746335317341877
4,577,0.010215619173672615
4,690,0.005664389962357897
4,833,0.051257459448860454
4,881,0.04464231359431847
5,3,0.02360999272118571
5,5,0.9047195300440921
5,8,0.020664837289654327
5,270,0.007548124316831333
5,692,0.02739356848156918
5,988,0.01606394714666731
6,1,0.03035367205862838
6,6,0.6657080143332595
6,99,0.02360251261954742
6,101,0.024664787735944726
6,143,0.015018924276573673
6,151,0.013454445890513894
6,254,0.03814503765305184
6,639,0.11965315920773324
6,716,0.03502562637124888
6,803,0.02786711760847829
6,952,0.006506702245020187
7,7,0.966567704310785
7,787,0.023358300934656004
7,942,0.010073994754559001
8,8,0.24867376015244844
8,305,0.04048965094663112
8,306,0.13877968436463198
8,309,0.02343598887822072
8,437,0.010828344000021889
8,583,0.11632349047682275
8,712,0.08544872545094628
8,771,0.03278218945769031
8,833,0.16342104616139275
8,948,0.05220962798056819
8,976,0.08760749213062564
9,9,0.7202503677405373
9,127,0.03856494109876715
9,253,0.058268830581617095
9,410,0.02348898671613124
9,426,0.03375250629754823
9,545,0.03418376552629039
9,632,0.022770860411081468
9,756,0.026518321031197785
9,809,0.04220142059682905
10,8,0.01212188957390257
10,10,0.9038507518949211
10,237,0.016628155001777542
10,560,0.006435517093821843
10,583,0.015863295227920095
10,590,0.011613810145464306
10,655,0.01120202537212451
10,802,0.00418424671681129
10,856,0.011296259484708096
10,940,0.006804049488548522
11,11,0.29080397722562634
11,178,0.09445822387237812
11,268,0.09404297761320861
11,309,0.014771759017340388
11,355,0.07909677358063469
11,469,0.07004455145193957
11,516,0.05705579892048749
11,825,0.07376509395605431
11,833,0.10300467050063847
11,942,0.023788044629187398
11,950,0.09916812923250452
12,214,0.12408845303227822
12,243,0.0664276935319213
12,254,0.09214124966319294
12,260,0.04384023768601371
12,265,0.05476120647405524
12,294,0.08284318007090477
12,334,0.07350876125136172
12,418,0.10293494872406013
12,727,0.13545120810616143
12,756,0.06262270247777275
12,785,0.09486284866053023
12,927,0.06651751032174767
13,13,0.6491122797220642
13,99,0.01764027102016919
13,139,0.02457801489312144
13,252,0.02441110373282556
13,449,0.019958938434386102
13,573,0.015120540327934383
13,600,0.029949050246232754
13,604,0.027524347334690183
13,658,0.004593363542701929
13,820,0.019005481856553874
13,830,0.03723418340569718
13,856,0.022517367045068244
13,888,0.0385165169663399
13,962,0.046235037738308435
13,986,0.02360350373390634
14,14,0.9567730165892971
14,237,0.0075337873642482575
14,327,0.0018078300901929645
14,366,0.005447215259010116
14,461,0.011980866609573291
14,481,0.006979675783118526
14,789,0.00947760830455961
15,15,0.8431854517959446
15,752,0.007986074626275468
15,786,0.048217008052565936
15,888,0.10061146552521393
16,16,0.5505074821012156
16,49,0.16796374393900368
16,99,0.11641647018550282
16,573,0.09978757867512533
16,945,0.06532472509915258
17,17,0.822382828387598
17,60,0.0053249064771496565
17,85,0.01486402607908449
17,88,0.0067506710236867815
17,220,0.008644726275998972
17,334,0.016983675960456125
17,731,0.12504916579602615
18,18,0.31634624822516494
18,52,0.04430138757234364
18,98,0.038444362217560354
18,127,0.04086585418317178
18,289,0.31209122203894085
18,366,0.03475676544054996
18,474,0.016467637774217253
18,507,0.030510986035378933
18,692,0.04645377938166832
18,728,0.0264366803436299
18,779,0.04305040685903019
18,941,0.02969157440404201
18,948,0.020583095524301848
20,10,0.005727239945056531
20,20,0.42010673059477266
20,65,0.06903546668823307
20,87,0.03795849917970503
20,98,0.042319566415025586
