0,20,0.25
0,49,0.2727272727272727
0,53,0.7142857142857143
0,196,0.3
0,208,0.2727272727272727
0,265,0.25
0,337,0.25
0,496,0.25
0,615,0.2857142857142857
0,669,0.25
0,709,0.5555555555555556
0,850,0.25
0,897,0.25
1,41,0.2727272727272727
1,43,0.36363636363636365
1,151,0.2962962962962963
1,153,0.25
1,154,0.6153846153846154
1,267,0.375
1,434,0.3
1,602,0.29411764705882354
1,603,0.3125
2,27,0.25
2,30,0.25
2,33,0.38235294117647056
2,53,0.2857142857142857
2,265,0.25
2,337,0.25
2,435,0.3
2,496,0.25
2,551,0.3333333333333333
2,615,0.2857142857142857
2,669,0.25
2,670,0.25
2,671,0.25
2,850,0.25
2,897,0.25
3,30,0.25
3,49,0.2727272727272727
3,53,0.2857142857142857
3,58,0.5
3,62,0.5
3,145,0.4
3,148,0.3125
3,194,0.5555555555555556
3,195,0.55
3,197,0.4166666666666667
3,199,0.4166666666666667
3,201,0.4782608695652174
3,205,0.36363636363636365
3,207,0.4
3,210,0.28
3,313,0.2857142857142857
3,337,0.25
3,350,0.29411764705882354
3,351,0.2857142857142857
3,433,0.38461538461538464
3,448,0.3
3,496,0.25
3,512,0.25
3,615,0.2857142857142857
3,630,0.3
3,708,0.27586206896551724
3,722,0.3
3,738,0.2727272727272727
3,752,0.3333333333333333
3,761,0.2413793103448276
3,762,0.25806451612903225
3,763,0.28125
3,820,0.2631578947368421
3,836,0.2857142857142857
3,850,0.25
3,854,0.25806451612903225
3,867,0.2413793103448276
3,869,0.25806451612903225
3,895,0.2727272727272727
3,897,0.375
3,900,0.34615384615384615
3,901,0.3333333333333333
3,969,0.2727272727272727
3,970,0.30303030303030304
3,1010,0.3
3,1039,0.25
3,1059,0.2727272727272727
4,153,0.625
4,267,0.25
5,191,0.7777777777777778
5,570,0.3333333333333333
5,737,0.2727272727272727
5,786,0.3
5,787,0.3
5,850,0.25
5,1050,0.3333333333333333
6,213,1.0
6,278,0.3333333333333333
7,161,0.8333333333333334
